facility,product_id,units
Midlands,1,10555
Devon,1,6234
Glasgow,1,19173
Midlands,2,4137
Devon,2,22562
Glasgow,2,20891
Midlands,3,15665
Devon,3,28726
Glasgow,3,12821
Midlands,4,21651
Devon,4,25174
Glasgow,4,15760
Midlands,5,1587
Devon,5,20590
Glasgow,5,11448
Midlands,6,1674
Devon,6,10275
Glasgow,6,9556
Midlands,7,10808
Devon,7,26231
Glasgow,7,18815
Midlands,8,13494
Devon,8,4770
Glasgow,8,22631
Midlands,9,11856
Devon,9,22084
Glasgow,9,922
Midlands,10,7307
Devon,10,18930
Glasgow,10,19312
Midlands,11,20692
Devon,11,8095
Glasgow,11,17349
Midlands,12,13873
Devon,12,8930
Glasgow,12,537
Midlands,13,13029
Devon,13,14176
Glasgow,13,695
Midlands,14,14332
Devon,14,8173
Glasgow,14,20615
Midlands,15,10886
Devon,15,8351
Glasgow,15,19641
Midlands,16,12951
Devon,16,24110
Glasgow,16,28247
Midlands,17,6201
Devon,17,7753
Glasgow,17,14509
Midlands,18,20185
Devon,18,15500
Glasgow,18,21659
Midlands,19,24350
Devon,19,17978
Glasgow,19,4804
Midlands,20,8493
Devon,20,19554
Glasgow,20,29735
Midlands,21,27750
Devon,21,25642
Glasgow,21,3095
Midlands,22,26204
Devon,22,22893
Glasgow,22,15872
Midlands,23,14951
Devon,23,1471
Glasgow,23,9996
Midlands,24,25151
Devon,24,16461
Glasgow,24,17602
