created_at,id,type,user_id
2022-03-18 06:03:56,4281973027287,suspended,31845540
2022-03-27 03:38:18,9429541831002,click,99380526
2022-03-09 03:45:16,5715897144281,click,81187430
2022-03-01 12:30:01,1559145264178,click,53175625
2022-03-13 18:21:54,0588760541990,order_completed,19359229
2022-03-22 00:33:04,5379399592577,order_completed,71400778
2022-03-25 12:47:42,1907856101044,suspended,23382503
2022-03-02 08:18:12,3533247770261,suspended,33145945
2022-03-14 22:13:33,0691015876669,order_completed,44765798
2022-03-05 15:45:30,4527560090952,suspended,26550121
2022-03-16 10:47:47,0387888043849,suspended,29279036
2022-03-22 16:24:23,8217601367711,page_view,43240890
2022-03-23 08:10:57,7066830679345,order_completed,93941396
2022-03-24 08:30:05,3945443434531,page_view,59195672
2022-03-01 17:22:45,1938500053570,order_completed,64854120
2022-03-21 08:30:34,7451543346798,suspended,20645687
2022-03-02 01:21:42,1195057838863,order_completed,83085253
2022-03-10 13:33:23,2624254443390,order_completed,69707247
2022-03-08 06:06:19,6284867255139,order_completed,83684128
2022-03-13 08:39:39,7697269582595,click,72675328
2022-03-04 18:19:46,7569575201722,click,60076540
2022-03-05 21:40:33,6431005209626,suspended,33840154
2022-03-19 16:18:36,2588971196895,click,64612942
2022-03-04 08:06:05,0339209933834,click,21564734
2022-03-22 07:09:14,0719277827226,page_view,25650242
2022-03-11 23:12:38,5100904453966,suspended,43823826
2022-03-18 23:44:35,1592919876184,page_view,22766885
2022-03-10 18:27:57,0165046481364,click,95871158
2022-03-13 09:50:19,0489956168604,click,15476593
2022-03-31 10:31:00,5522365030812,suspended,42681755
2022-03-28 18:01:49,0356454461691,click,62471947
2022-03-23 09:11:28,3276382984697,click,04401315
2022-03-08 04:09:29,7982761441625,order_completed,11191940
2022-03-01 03:09:35,5505719397083,order_completed,15647221
2022-03-09 20:04:21,6565345326481,click,26799681
2022-03-22 18:19:05,7552123795200,page_view,59299721
2022-03-24 19:59:31,0328289440455,order_completed,63434903
2022-03-30 09:45:24,7620831704903,page_view,94830910
2022-03-19 15:49:09,1302401160017,page_view,08955524
2022-03-01 03:16:42,7980376520865,suspended,40615943
2022-03-03 00:26:24,9264516538568,suspended,41268162
2022-03-22 04:19:56,1179900269653,suspended,42260226
2022-03-31 12:01:43,3367340629047,order_completed,95046976
2022-03-26 06:39:45,4203406970458,page_view,25625851
2022-03-30 05:33:46,1266387578634,suspended,52288203
2022-03-10 10:52:01,4502932970438,click,39413680
2022-03-24 11:32:35,1699848435137,click,76817335
2022-03-14 07:42:22,9680662658668,click,40438450
2022-03-04 01:56:40,5054698182628,click,01824292
2022-03-01 10:05:41,3148042022691,click,37248246
2022-03-15 23:33:17,9355266416418,click,05384884
2022-03-16 19:10:56,9116273531743,page_view,97100225
2022-03-15 14:06:43,0934641855470,click,20237059
2022-03-10 09:38:59,5695232042390,click,59267973
2022-03-06 03:04:06,9435986707178,suspended,93579766
2022-03-17 08:30:05,2259722679829,page_view,26038346
2022-03-18 15:16:00,8653984542886,order_completed,44599058
2022-03-05 11:26:28,6439972048880,page_view,62630238
2022-03-08 21:40:50,1357828647566,click,63612882
2022-03-08 09:09:31,0139950915192,page_view,94647945
2022-03-16 18:39:49,7935300334001,order_completed,23761704
2022-03-22 23:41:47,3389897064287,order_completed,63532968
2022-03-07 09:31:44,5114383261240,page_view,50219698
2022-03-23 10:46:05,7779313451382,order_completed,33303482
2022-03-10 20:28:40,7487925071910,click,50143160
2022-03-19 18:24:44,9958107433720,suspended,07979132
2022-03-27 08:47:20,4095425195437,page_view,47752283
2022-03-25 00:57:49,9092572319032,click,64438849
2022-03-23 18:11:58,9468425687007,order_completed,34779842
2022-03-20 10:01:58,2704538642562,suspended,31227681
2022-03-13 18:34:55,3347695722358,page_view,58758489
2022-03-14 14:21:37,8500236778343,suspended,74592678
2022-03-08 04:38:53,4440938173081,suspended,83134791
2022-03-07 18:13:22,3696222556028,click,79282611
2022-03-24 16:44:17,3290611715418,page_view,51975173
2022-03-02 07:14:44,0263666115307,click,54285798
2022-03-05 17:23:07,3639820271825,page_view,10377857
2022-03-30 00:47:27,6324845753469,click,58251089
2022-03-24 21:20:00,4659402023603,page_view,45991592
2022-03-29 17:59:34,9536671490631,page_view,51708467
2022-03-16 01:11:15,9729622577882,order_completed,76805790
2022-03-16 10:09:02,6185327575869,order_completed,21019067
2022-03-05 05:46:17,2344980938969,suspended,86468718
2022-03-20 20:06:12,2230198159978,order_completed,09458611
2022-03-04 21:58:26,4965255099697,page_view,76266904
2022-03-26 01:16:40,5002237050464,suspended,56461206
2022-03-28 15:18:20,2077695167255,suspended,43222582
2022-03-26 15:28:22,1635565699070,order_completed,05040650
2022-03-29 10:48:03,7855654023522,click,82438630
2022-03-21 04:11:01,4680162561234,suspended,72668986
2022-03-10 22:35:51,6429770994342,click,73834854
2022-03-20 23:39:14,2859954660390,order_completed,56683325
2022-03-02 12:23:49,2252019391855,suspended,18063875
2022-03-11 01:25:17,5668236948579,click,36189816
