facility,product_id,units
Midlands,1,26079
Devon,1,3752
Glasgow,1,19642
Midlands,2,29047
Devon,2,16979
Glasgow,2,16968
Midlands,3,3329
Devon,3,2166
Glasgow,3,28650
Midlands,4,3800
Devon,4,14682
Glasgow,4,7580
Midlands,5,20316
Devon,5,10648
Glasgow,5,27224
Midlands,6,8636
Devon,6,6114
Glasgow,6,23637
Midlands,7,15237
Devon,7,7787
Glasgow,7,4924
Midlands,8,27819
Devon,8,27043
Glasgow,8,622
Midlands,9,589
Devon,9,18917
Glasgow,9,6718
Midlands,10,22234
Devon,10,28955
Glasgow,10,21717
Midlands,11,23549
Devon,11,16500
Glasgow,11,8429
Midlands,12,18341
Devon,12,10101
Glasgow,12,2096
Midlands,13,14660
Devon,13,22451
Glasgow,13,1249
Midlands,14,9205
Devon,14,5852
Glasgow,14,9639
Midlands,15,18435
Devon,15,15927
Glasgow,15,7181
Midlands,16,9462
Devon,16,18799
Glasgow,16,11035
Midlands,17,23376
Devon,17,26779
Glasgow,17,22872
Midlands,18,7840
Devon,18,19396
Glasgow,18,20654
Midlands,19,20085
Devon,19,8594
Glasgow,19,7013
Midlands,20,9894
Devon,20,5437
Glasgow,20,8541
Midlands,21,10748
Devon,21,15151
Glasgow,21,7184
Midlands,22,22774
Devon,22,14178
Glasgow,22,1297
Midlands,23,5389
Devon,23,948
Glasgow,23,14090
Midlands,24,3145
Devon,24,7543
Glasgow,24,26756
