facility,product_id,units
Midlands,1,1579
Devon,1,2071
Glasgow,1,20548
Midlands,2,23928
Devon,2,15143
Glasgow,2,1341
Midlands,3,25021
Devon,3,2570
Glasgow,3,29126
Midlands,4,18812
Devon,4,19236
Glasgow,4,10555
Midlands,5,22743
Devon,5,24315
Glasgow,5,14355
Midlands,6,15374
Devon,6,29402
Glasgow,6,23719
Midlands,7,23377
Devon,7,15662
Glasgow,7,4325
Midlands,8,21489
Devon,8,8312
Glasgow,8,28911
Midlands,9,19690
Devon,9,19085
Glasgow,9,10545
Midlands,10,1854
Devon,10,3097
Glasgow,10,9783
Midlands,11,28743
Devon,11,28792
Glasgow,11,10077
Midlands,12,27090
Devon,12,7662
Glasgow,12,29780
Midlands,13,25206
Devon,13,25549
Glasgow,13,15327
Midlands,14,20561
Devon,14,2911
Glasgow,14,4691
Midlands,15,1570
Devon,15,8225
Glasgow,15,9564
Midlands,16,17683
Devon,16,3614
Glasgow,16,23892
Midlands,17,8184
Devon,17,11561
Glasgow,17,22600
Midlands,18,23827
Devon,18,29570
Glasgow,18,13202
Midlands,19,24710
Devon,19,10927
Glasgow,19,16100
Midlands,20,13728
Devon,20,25603
Glasgow,20,17748
Midlands,21,1703
Devon,21,24212
Glasgow,21,597
Midlands,22,23899
Devon,22,9370
Glasgow,22,758
Midlands,23,26072
Devon,23,14902
Glasgow,23,10919
Midlands,24,10067
Devon,24,29137
Glasgow,24,24813
