id,created_at,product_id,quantity,user_id,invoice_id
8778408016092,2022-01-24 23:03:35,11,2,51393328,8711587148413
3969477515912,2022-01-24 14:44:54,19,3,33041353,2560123098912
0916345792305,2022-01-08 16:19:35,6,3,84197207,7698456428078
6027142787891,2022-01-01 00:04:50,2,4,54706385,1206650300890
7658236940220,2022-01-14 04:10:22,11,3,51590048,2294568241731
6016884779363,2022-01-05 01:28:29,12,2,49263510,1087317643037
6947118013208,2022-01-15 14:02:51,1,4,52275869,8809189163481
1256097670179,2022-01-08 08:21:22,1,1,99251857,3671097951949
9611611620764,2022-01-21 05:51:46,1,4,54151154,0552035192309
2358332456025,2022-01-30 04:27:30,1,4,11264866,2964513758064
7970341489266,2022-01-23 21:15:41,3,4,38640148,0046896714546
1669728457634,2022-01-24 03:24:48,16,5,57074276,0930576081168
6337390603127,2022-01-18 15:38:11,2,2,39491848,5670886977472
0351385334441,2022-01-26 02:13:58,13,3,75304812,0777067771111
3019126334088,2022-01-26 00:20:53,14,1,16419537,8433184535747
5774038277851,2022-01-04 19:46:35,9,2,96354605,3053573452407
8709166208290,2022-01-25 22:46:37,24,2,15323026,8216919729907
6570040494380,2022-01-26 01:29:15,11,4,43195398,8522509092550
6644406448888,2022-01-16 10:24:55,11,2,62082969,5708693058234
3666609759298,2022-01-14 12:18:03,11,1,67820191,5501318705052
2782092805135,2022-01-23 03:54:58,20,2,78252783,0818501169597
6207436151106,2022-01-18 00:41:36,1,2,69057878,7108640811550
9269029062203,2022-01-02 05:19:14,11,5,00019927,2606695325831
1802606661796,2022-01-23 10:15:16,6,2,57629483,1552578034295
0827594516423,2022-01-17 15:00:38,21,5,58268438,6567846612209
8693764092620,2022-01-22 09:45:31,19,1,61965386,7079148786742
9717855103374,2022-01-16 02:55:06,9,2,07585111,4963562343755
9936847358015,2022-01-23 21:38:50,11,4,36090617,4352125030063
2981411402929,2022-01-19 09:27:39,7,5,53688187,1718772785269
4810250592769,2022-01-10 02:36:25,14,4,32605839,5288996297931
3126783500630,2022-01-05 06:01:27,14,5,96830284,7468811970364
6560169220168,2022-01-13 00:48:04,2,3,46154590,3880588027043
3752480154502,2022-01-05 02:31:48,20,1,41243886,5716886119754
8037603141221,2022-01-22 05:55:17,1,3,86183741,4667028533239
2180103674655,2022-01-20 05:43:02,9,1,29330089,1737298409251
2829888754649,2022-01-23 03:31:15,21,5,03471036,9140329259404
3006902816456,2022-01-31 17:25:37,21,5,30525474,7954172184866
1693036009629,2022-01-28 04:45:36,24,3,66807827,8239219744432
8786813268524,2022-01-04 10:06:00,5,2,06911843,9457695978533
5207826497303,2022-01-23 01:13:33,20,5,29759569,9286635643343
3565003392875,2022-01-04 22:17:48,9,5,47656017,0524987486751
7429431262390,2022-01-01 20:02:03,12,5,72419496,3023906227804
3214756805667,2022-01-27 16:18:16,5,5,92049789,9637361186183
0553037383023,2022-01-12 11:39:37,15,4,19446547,1917599132632
6431227862043,2022-01-23 19:49:07,19,1,51173807,0917494862314
0433192383758,2022-01-01 12:26:41,25,3,69882593,8634174344152
4106459356210,2022-01-13 03:13:42,12,4,72566657,9118721086737
5348184118940,2022-01-03 22:59:02,8,1,27227428,7908601141630
0178236958201,2022-01-24 20:41:26,14,4,75039318,7218869431603
8546925067749,2022-01-04 04:41:28,22,2,53609526,2711290320867
0150440009023,2022-01-29 20:00:54,6,4,19208213,1191317611771
0002432217728,2022-01-14 09:00:03,9,2,02553184,7245319356148
0400925263984,2022-01-10 14:36:13,2,5,37879952,5510652736905
5444698078838,2022-01-21 11:31:23,9,4,00681407,0768587878794
2822153007716,2022-01-28 20:22:23,17,1,27929414,4527505119144
5372189975215,2022-01-16 08:17:49,6,3,51165543,5034228273187
1385715864703,2022-01-07 19:08:33,12,2,73312765,1531523398576
7280720180210,2022-01-03 16:02:05,11,3,31032568,8956360939073
3293148829276,2022-01-06 21:26:23,16,2,62108010,1922935511675
5691517974363,2022-01-03 20:49:20,12,3,21847097,2289571647403
1131373065453,2022-01-29 15:17:47,9,4,80476375,0896539542247
3807100932739,2022-01-26 06:59:21,10,5,91258090,5483940965151
0066426056830,2022-01-25 22:43:14,12,5,30678033,5729330314551
2240512989280,2022-01-21 04:48:16,9,1,52083792,4603943514755
5221442743897,2022-01-12 16:15:22,3,4,35645122,7582176759478
5783629925200,2022-01-17 06:00:28,5,1,85931817,7897459130647
